year,region_bld,value
2025,C-WEU-AUT,110834.5583
2025,C-WEU-BEL,86124.04695
2025,C-EEU-BGR,61045.62504
2025,C-WEU-HRV,0
2025,C-WEU-CYP,15686.98356
2025,C-EEU-CZE,114323.5549
2025,C-WEU-DNK,25553.32831
2025,C-EEU-EST,7279.161076
2025,C-WEU-FIN,12359.01188
2025,C-WEU-FRA,529329.4068
2025,C-WEU-DEU,615926.6844
2025,C-WEU-GRC,85869.02504
2025,C-EEU-HUN,64256.01622
2025,C-WEU-IRL,18540.15651
2025,C-WEU-ITA,691655.4971
2025,C-EEU-LVA,12285.44951
2025,C-EEU-LTU,19104.93228
2025,C-WEU-LUX,1728.275172
2025,C-WEU-MLT,1716.574561
2025,C-WEU-NLD,103932.4271
2025,C-EEU-POL,308529.6546
2025,C-WEU-PRT,90761.97616
2025,C-EEU-ROU,164400.4212
2025,C-EEU-SVK,32638.14194
2025,C-EEU-SVN,17349.56706
2025,C-WEU-ESP,573738.2863
2025,C-WEU-SWE,58653.20678
2025,C-WEU-GBR,502261.6554
2030,C-WEU-AUT,147779.4111
2030,C-WEU-BEL,114832.0626
2030,C-EEU-BGR,81394.16672
2030,C-WEU-HRV,0
2030,C-WEU-CYP,20915.97808
2030,C-EEU-CZE,152431.4065
2030,C-WEU-DNK,34071.10442
2030,C-EEU-EST,9705.548102
2030,C-WEU-FIN,16478.68251
2030,C-WEU-FRA,705772.5424
2030,C-WEU-DEU,821235.5792
2030,C-WEU-GRC,114492.0334
2030,C-EEU-HUN,85674.6883
2030,C-WEU-IRL,24720.20868
2030,C-WEU-ITA,922207.3294
2030,C-EEU-LVA,16380.59935
2030,C-EEU-LTU,25473.24304
2030,C-WEU-LUX,2304.366896
2030,C-WEU-MLT,2288.766082
2030,C-WEU-NLD,138576.5695
2030,C-EEU-POL,411372.8728
2030,C-WEU-PRT,121015.9682
2030,C-EEU-ROU,219200.5616
2030,C-EEU-SVK,43517.52258
2030,C-EEU-SVN,23132.75608
2030,C-WEU-ESP,764984.3818
2030,C-WEU-SWE,78204.2757
2030,C-WEU-GBR,669682.2072
2035,C-WEU-AUT,147779.411
2035,C-WEU-BEL,114832.0626
2035,C-EEU-BGR,81394.1668
2035,C-WEU-HRV,0
2035,C-WEU-CYP,20915.978
2035,C-EEU-CZE,152431.4066
2035,C-WEU-DNK,34071.1044
2035,C-EEU-EST,9705.5481
2035,C-WEU-FIN,16478.6825
2035,C-WEU-FRA,705772.542
2035,C-WEU-DEU,821235.58
2035,C-WEU-GRC,114492.0334
2035,C-EEU-HUN,85674.6884
2035,C-WEU-IRL,24720.2086
2035,C-WEU-ITA,922207.33
2035,C-EEU-LVA,16380.59934
2035,C-EEU-LTU,25473.243
2035,C-WEU-LUX,2304.3669
2035,C-WEU-MLT,2288.76608
2035,C-WEU-NLD,138576.5696
2035,C-EEU-POL,411372.872
2035,C-WEU-PRT,121015.9682
2035,C-EEU-ROU,219200.562
2035,C-EEU-SVK,43517.5226
2035,C-EEU-SVN,23132.756
2035,C-WEU-ESP,764984.382
2035,C-WEU-SWE,78204.2758
2035,C-WEU-GBR,669682.208
2040,C-WEU-AUT,147779.411
2040,C-WEU-BEL,114832.0626
2040,C-EEU-BGR,81394.1668
2040,C-WEU-HRV,0
2040,C-WEU-CYP,20915.978
2040,C-EEU-CZE,152431.4066
2040,C-WEU-DNK,34071.1044
2040,C-EEU-EST,9705.5481
2040,C-WEU-FIN,16478.6825
2040,C-WEU-FRA,705772.542
2040,C-WEU-DEU,821235.58
2040,C-WEU-GRC,114492.0334
2040,C-EEU-HUN,85674.6884
2040,C-WEU-IRL,24720.2086
2040,C-WEU-ITA,922207.33
2040,C-EEU-LVA,16380.59934
2040,C-EEU-LTU,25473.243
2040,C-WEU-LUX,2304.3669
2040,C-WEU-MLT,2288.76608
2040,C-WEU-NLD,138576.5696
2040,C-EEU-POL,411372.872
2040,C-WEU-PRT,121015.9682
2040,C-EEU-ROU,219200.562
2040,C-EEU-SVK,43517.5226
2040,C-EEU-SVN,23132.756
2040,C-WEU-ESP,764984.382
2040,C-WEU-SWE,78204.2758
2040,C-WEU-GBR,669682.208
2045,C-WEU-AUT,147779.411
2045,C-WEU-BEL,114832.0626
2045,C-EEU-BGR,81394.1668
2045,C-WEU-HRV,0
2045,C-WEU-CYP,20915.978
2045,C-EEU-CZE,152431.4066
2045,C-WEU-DNK,34071.1044
2045,C-EEU-EST,9705.5481
2045,C-WEU-FIN,16478.6825
2045,C-WEU-FRA,705772.542
2045,C-WEU-DEU,821235.58
2045,C-WEU-GRC,114492.0334
2045,C-EEU-HUN,85674.6884
2045,C-WEU-IRL,24720.2086
2045,C-WEU-ITA,922207.33
2045,C-EEU-LVA,16380.59934
2045,C-EEU-LTU,25473.243
2045,C-WEU-LUX,2304.3669
2045,C-WEU-MLT,2288.76608
2045,C-WEU-NLD,138576.5696
2045,C-EEU-POL,411372.872
2045,C-WEU-PRT,121015.9682
2045,C-EEU-ROU,219200.562
2045,C-EEU-SVK,43517.5226
2045,C-EEU-SVN,23132.756
2045,C-WEU-ESP,764984.382
2045,C-WEU-SWE,78204.2758
2045,C-WEU-GBR,669682.208
2050,C-WEU-AUT,147779.411
2050,C-WEU-BEL,114832.0626
2050,C-EEU-BGR,81394.1668
2050,C-WEU-HRV,0
2050,C-WEU-CYP,20915.978
2050,C-EEU-CZE,152431.4066
2050,C-WEU-DNK,34071.1044
2050,C-EEU-EST,9705.5481
2050,C-WEU-FIN,16478.6825
2050,C-WEU-FRA,705772.542
2050,C-WEU-DEU,821235.58
2050,C-WEU-GRC,114492.0334
2050,C-EEU-HUN,85674.6884
2050,C-WEU-IRL,24720.2086
2050,C-WEU-ITA,922207.33
2050,C-EEU-LVA,16380.59934
2050,C-EEU-LTU,25473.243
2050,C-WEU-LUX,2304.3669
2050,C-WEU-MLT,2288.76608
2050,C-WEU-NLD,138576.5696
2050,C-EEU-POL,411372.872
2050,C-WEU-PRT,121015.9682
2050,C-EEU-ROU,219200.562
2050,C-EEU-SVK,43517.5226
2050,C-EEU-SVN,23132.756
2050,C-WEU-ESP,764984.382
2050,C-WEU-SWE,78204.2758
2050,C-WEU-GBR,669682.208